食材
豆苗
迷你車厘茄
蟹菇
甘荀蓉
高筋麵粉
鹽
砂糖
速發酵母
室溫水
橄欖油植物油
白蘿蔔
急凍牛肋條
清水雞湯
冰糖
花椒粒
薑片
蔥
八角
桂皮
魚骨
甘旬
西芹
洋蔥
京蔥
京蔥
茴香籽
乾百里香
乾洋芫茜
月桂葉
黑椒粒
水
乾白酒
中筋麵粉
麵種
鮮奶
糖
酵母
菜油
魚膠片或魚膠粉
汽水
椰汁糕做法
芒果
糖
魚膠粉
滾水
椰漿
牛奶
滖水
雞蛋
鹹蛋
皮蛋
清水
蛋液與清水份量
低筋麵粉
雞蛋
砂糖
葡萄糖
糖霜糖粉
自制紅豆泥
麥芽糖或砂糖
清水
芋頭
棷奶
水牛奶
大腿
洋蔥
蒜頭
鹽
胡椒粉
五香粉
美極醬油
蛋
麵粉
粟米粉
西芹
新鮮鱔
鹽鞠
鰻魚汁
老抽
淘大蒜蓉
鰻魚
蜜糖
急凍無激素雞翼尖
蒜頭
八角
花椒
生抽
老抽
酒
片糖
水
忌廉芝士
糖
淡忌廉
雞蛋
生粉粟粉
辛辣麵
白飯
蛋
粟米粒
紫菜粉
馬蘇里拉芝士絲
奶
松本茸
雞扒
紅蘿蔔
粟米
米
清雞湯
生抽
糖
胡椒粉
麻油
膏蟹
粉絲
薑

鹽
水
生抽
胡椒粉
雞粉
麻油
蠶豆
豌豆
紅蘿蔔
培根
蕎麥米

橄欖油
醋
胡椒粉
鹽
糖
薯仔
醋
鹽
鵝油
鹽
黑椒粉
雜香草
生粉
食用石膏粉
豆漿
新鮮豬梅頭肉豬林肉
粟米蓉
急涷粟米粒
雞蛋
現成雞湯
約個南瓜紅豆餅
南瓜
糯米粉
糖
紅豆餡
麵包糠
普通麵粉
蘇打粉
泡打粉
糖
鹽
醋
牛奶
雞蛋
融化牛油
低筋麵粉
無鹽牛油
鹽
糖
水
淡忌廉
鮮奶
榴槤肉
糖霜
魚膠粉
飲用水
蛋
白砂糖
青檸汁
豬肉碎
豆腐
蔥花
餅乾
無鹽牛油溶液
起士
忌廉
巧克力
切塊的鯖魚
生薑
味噌
糖
米酒
水
大連鮑魚
青檸
蒜頭
蔥芫荽
青檸汁
麻辣豉油
魚露
陳醋
糖
水
花椒油
蒜泥
芫荽碎
麻油
急凍比目魚
淘大醃肉汁
蓮藕
櫻花蝦
蔥白
蔥粒
柴魚片和芝麻
日式醬油
糖
味醂
清酒
白醋
水
夏枯草
生地
豬橫
豬脊骨
生薑
果皮
清水
中蝦
蒜蓉
辣椒
茄汁
紅蘿蔔
木瓜
粟米
雪耳
排骨
米血
沙茶醬
辣椒醬
蒜頭
薑片
辣椒
醬油
蠔油
砂糖
米酒
柴魚高湯
茶葉
青瓜
鹽
蒜頭
鎮江醋
生抽
麻油
糖
中筋麵粉
生粉粟粉
鯪魚肉
茄子
生粉
甜豉油
蔥粒
蕎麥麵
蟹柳
有機青瓜
有機雞胸
蛋
醬油
味琳
鰹魚高湯
甘菇
小杏鮑菇
油浸蒜蓉
黑椒鹽
肥牛火鍋肉片
洋蔥
蒜頭
全蛋
蔥花
麥醬油
棕櫚糖或二砂
黑胡椒粉
米酒
水
冷凍毛豆
鹽
糖
八角
蒜頭
朝天椒
鹽
黑胡椒粉
烤盤
綠蔥花
白芝麻
肉鬆
美奶滋
蛋白
棕櫚糖或糖
檸檬汁
蛋黃
無鹽奶油
牛奶
低筋麵粉
雞蛋
菜油
低筋麵粉
牛奶
伯爵茶葉
煉奶
白糖
白醋
一字排骨
生粉
水
生抽
糖
紹興酒
鎮江醋
片糖
老抽
中筋麵粉
糖
鹽
泡打粉
雞蛋
溶化牛油
牛奶
雞
芫荽
沖
薑
辣椒
鴨皮和鴨脂肪
夾心餅
淡忌廉
